AGAP000754	AGAP000754-RA
AGAP000755	AGAP000755-RA
AGAP000756	AGAP000756-RA
AGAP000757	AGAP000757-RA
AGAP000758	AGAP000758-RA
AGAP000759	AGAP000759-RA
AGAP000760	AGAP000760-RA
AGAP000761	AGAP000761-RA
AGAP000762	AGAP000762-RA
AGAP000763	AGAP000763-RA
AGAP000764	AGAP000764-RA
AGAP000765	AGAP000765-RA
AGAP000766	AGAP000766-RA
AGAP000767	AGAP000767-RA
AGAP000768	AGAP000768-RA
AGAP000769	AGAP000769-RA
AGAP000770	AGAP000770-RA
AGAP000771	AGAP000771-RA
AGAP000772	AGAP000772-RA
AGAP000773	AGAP000773-RA
AGAP000774	AGAP000774-RA
AGAP000775	AGAP000775-RA
AGAP000776	AGAP000776-RA
AGAP000777	AGAP000777-RA
AGAP000778	AGAP000778-RA
AGAP000779	AGAP000779-RA
AGAP000780	AGAP000780-RA
AGAP000781	AGAP000781-RA
AGAP000782	AGAP000782-RA
AGAP000783	AGAP000783-RA
AGAP000784	AGAP000784-RA
AGAP000785	AGAP000785-RA
AGAP000786	AGAP000786-RA
AGAP000787	AGAP000787-RA
AGAP000788	AGAP000788-RA
AGAP000789	AGAP000789-RA
AGAP000790	AGAP000790-RA
AGAP000791	AGAP000791-RA
AGAP000792	AGAP000792-RA
AGAP000793	AGAP000793-RA
AGAP000794	AGAP000794-RA
AGAP000795	AGAP000795-RA
AGAP000796	AGAP000796-RA
AGAP000797	AGAP000797-RA
AGAP000798	AGAP000798-RA
AGAP000799	AGAP000799-RA
AGAP000800	AGAP000800-RA
AGAP000801	AGAP000801-RA
AGAP000802	AGAP000802-RA
AGAP000803	AGAP000803-RA
AGAP000804	AGAP000804-RA
AGAP000805	AGAP000805-RA
AGAP000806	AGAP000806-RA
AGAP000807	AGAP000807-RA
